name,SOURCE_ID,ra,dec,pm,phot_g_mean_mag,match
OGLE2011BLG0005,4056482708593138304,268.517983362107,-29.813055100987572,11.980555,19.100512,59
OGLE2011BLG0006,4056550470330064128,268.31733647447635,-29.492741193762352,4.2414384,18.618284,66
OGLE2011BLG0007,4062578748979088128,269.71448317628983,-28.576914294896437,8.80165,17.73582,66
OGLE2011BLG0008,4062267685952192128,269.94676885454027,-29.637304712508122,2.8044574,19.488054,54
OGLE2011BLG0009,4062324001657603840,269.6798109596596,-29.436264629459178,,19.577677,79
OGLE2011BLG0010,4062542808675995264,269.37531329871393,-28.96885415875304,4.7683787,18.048132,70
OGLE2011BLG0011,4044200717092596224,270.0686679487515,-30.533587761274127,,19.58212,58
OGLE2011BLG0012,4056275970366717568,269.1181994934356,-30.075155026286446,,18.891953,60
OGLE2011BLG0013,4056272873754339456,269.0073815234815,-30.086907441701072,,20.079414,54
OGLE2011BLG0015,4062946943816747648,271.3787050862094,-27.433303116547286,6.8701386,17.655424,47
OGLE2011BLG0016,4063166334865731712,270.2350966561334,-27.497778069329016,,19.677923,56
OGLE2011BLG0017,4063200346785591424,270.75790306777077,-27.11771018764415,3.5141673,16.680262,60
OGLE2011BLG0019,4061754523205827200,264.0506422208818,-26.895865823832327,6.7017994,18.12408,49
OGLE2011BLG0020,4057332566691360896,268.1546923240435,-28.984354859787985,5.007943,18.08341,70
OGLE2011BLG0022,4056384577228194688,268.3247201285448,-30.041519411533883,2.4020119,16.91519,61
OGLE2011BLG0023,4056370116053475712,267.8688835432468,-30.0979895039207,5.558962,16.2881,76
OGLE2011BLG0024,4062670661332351360,269.9512096391355,-28.523193484851518,,19.7563,57
OGLE2011BLG0025,4062613830288281728,269.007007683022,-28.603983913727706,,20.172352,68
OGLE2011BLG0026,4063383935121508224,268.8942626691623,-28.337620126184973,,20.081758,73
OGLE2011BLG0027,4062743469562127616,269.76386229558557,-28.080967008910417,5.0918307,19.245354,48
OGLE2011BLG0028,4063389222122549504,268.81822789439366,-28.17190472490168,12.279283,17.003649,63
OGLE2011BLG0029,4056260813511805696,269.75619574345234,-29.77020388346916,,18.50521,64
OGLE2011BLG0030,4056327853535017984,269.34471588706714,-29.571321984581235,,19.417372,65
OGLE2011BLG0031,4062331668135036544,269.71552234449473,-29.326828787470806,,19.581318,65
OGLE2011BLG0032,4056524322559660416,269.16962667334747,-29.307500558396676,,18.499798,61
OGLE2011BLG0033,4056538440140222976,268.97019329630194,-29.25893150617715,9.49312,16.74647,68
OGLE2011BLG0034,4062350016206068736,269.52458262618717,-29.102932878965895,14.60085,18.47517,62
OGLE2011BLG0035,4062568578537216384,269.59680590105745,-28.81041339105651,,19.620949,63
OGLE2011BLG0037,4056117808133831936,268.98263639134956,-30.56105941902947,4.5914497,17.477262,53
OGLE2011BLG0038,4056243259879200384,269.8923422537264,-29.964319248589874,3.8846252,16.88448,65
OGLE2011BLG0039,4056276584575306624,269.2025236650546,-30.065706532841656,2.528747,17.736021,65
OGLE2011BLG0040,4062721406462767232,270.53434443535093,-27.835255384234998,,19.016855,42
OGLE2011BLG0041,4063166231786177792,270.2961285364372,-27.48939672875239,7.2186985,17.45427,59
OGLE2011BLG0042,4063140393250428544,271.22599537758117,-27.278439493107317,6.0627465,17.049955,62
OGLE2011BLG0043,4063139877855438080,271.1492930555323,-27.324742815598533,6.98563,19.024673,58
OGLE2011BLG0045,4050422376645252992,271.33316729573033,-28.75407259059736,10.859394,18.40172,67
OGLE2011BLG0046,4062403617354969856,270.91008466190567,-28.90462364950348,,19.189962,53
OGLE2011BLG0047,4062477215957357184,270.1682946457441,-28.70557286737306,10.039942,18.645306,56
OGLE2011BLG0049,4062517210709833472,270.437069952909,-28.235589377854613,8.173355,18.375814,51
OGLE2011BLG0050,4060942710021467264,264.63433644441193,-27.065793253308314,7.577466,19.86613,40
OGLE2011BLG0051,4056578610902891008,268.1756921353988,-29.151623642631264,,19.917536,59
OGLE2011BLG0052,4057401835890500352,267.6663788299375,-28.687834955690356,,20.412786,26
OGLE2011BLG0053,4057436126915563264,268.143395463416,-28.38550714020355,3.2587247,18.632015,44
OGLE2011BLG0054,4056417154581733760,267.7347149091726,-30.022241341297896,,18.469923,58
OGLE2011BLG0055,4056497929970729728,268.4607172051283,-29.651344707369656,7.4571447,19.385216,67
OGLE2011BLG0056,4062595035503290240,269.6305932922295,-28.461941193270174,8.288446,18.410898,48
OGLE2011BLG0057,4062641039029488640,269.34485303322447,-28.40873176243808,4.4946084,18.689125,76
OGLE2011BLG0058,4062703264399849984,269.9571121329783,-28.043649652842255,15.077073,18.95702,52
OGLE2011BLG0059,4056522600287908480,269.0864675868758,-29.350145340313386,7.3676367,18.477629,62
OGLE2011BLG0060,4062360835448691840,270.02888091489245,-29.020265343589617,,19.1562,49
OGLE2011BLG0061,4044073173675897472,269.45170168259847,-30.95517820666924,112.89617,17.00956,57
OGLE2011BLG0062,4056239098207986432,269.65804820953923,-30.010660461286594,,19.370178,63
OGLE2011BLG0063,4056229962610218112,269.33282490385034,-30.047832915254205,,20.536924,95
OGLE2011BLG0064,Not Detected,270.73761998696045,-27.881171101626258,5.686623,17.510069,Insufficient matches
OGLE2011BLG0065,4062733157504683264,270.4268694100403,-27.830366801528122,11.56711,18.173525,47
OGLE2011BLG0066,4063150456439450496,270.7609877057595,-27.234618274570458,2.93471,20.16437,35
OGLE2011BLG0067,4063951794144828416,270.2450519677621,-26.870499905770558,7.093719,19.585966,29
OGLE2011BLG0068,4062389839093492224,270.8022413000449,-29.197015869885128,,19.035898,60
OGLE2011BLG0070,4062515282501647232,270.46688334816315,-28.342954743777117,4.320684,15.18267,54
OGLE2011BLG0071,4055674743642167296,268.2939322759251,-31.469610510424594,,20.114672,43
OGLE2011BLG0074,4056028614588005888,267.41279341108566,-30.45236314882416,,20.757698,47
OGLE2011BLG0076,4061361727014957184,263.45708092692075,-27.08128437176413,6.609512,20.581871,27
OGLE2011BLG0079,4056159177402731904,268.1889143557683,-30.427761134810467,5.502661,19.390873,55
OGLE2011BLG0080,4056195048857728256,268.606694204279,-30.015635472726036,6.4150767,17.886244,40
OGLE2011BLG0081,4056384478428689664,268.35067170661296,-30.04307566902752,10.631209,17.923077,74
OGLE2011BLG0082,4056397977512438144,268.24039391196897,-29.919071905823756,1.5892514,17.836487,75
OGLE2011BLG0084,4056560911449207552,268.40920194119565,-29.31616017591241,,19.519516,60
OGLE2011BLG0085,4063428327887904128,268.90917810073785,-27.974050193288747,8.233694,19.992907,69
OGLE2011BLG0086,4062269369711858432,269.72963273632246,-29.663754424746053,,19.56412,72
OGLE2011BLG0087,4056545144568117120,268.9201037585665,-29.097447320262386,7.252779,17.635532,56
OGLE2011BLG0090,4056093829329004800,269.00997372085664,-30.806769588279646,,19.782957,55
OGLE2011BLG0091,4056111490238859648,268.87139994733576,-30.625524537335583,7.0909557,17.897335,38
OGLE2011BLG0092,4056266998249332224,268.8834942310523,-30.24591606453543,,20.063126,69
OGLE2011BLG0093,4056189109021798528,268.7247708640567,-30.19967963647592,4.057212,19.23253,35
OGLE2011BLG0094,4056252743123372032,269.39444158219675,-30.03122290089152,,17.724815,72
OGLE2011BLG0096,4063180628522771456,270.10201968249163,-27.374670505240037,8.203691,18.969238,51
OGLE2011BLG0098,4062463162815242240,270.33067173293716,-28.792930965634543,,19.084435,56
OGLE2011BLG0099,4062511056244967936,270.51506785824864,-28.425465933894298,4.036951,18.621464,61
OGLE2011BLG0101,4062486282778626816,270.3277234670254,-28.520683966566178,0.4974918,18.537283,43
OGLE2011BLG0102,4062881183391289728,271.10833763559486,-28.190772698046548,,19.056265,47
OGLE2011BLG0103,4043872169342875264,271.0214117420296,-31.34117678039375,5.804969,20.142733,32
OGLE2011BLG0104,4056142482732857984,268.0657569441817,-30.841931542255416,,19.26897,61
OGLE2011BLG0105,4056390663125150080,268.03124201230065,-30.039571464930336,,19.002459,67
OGLE2011BLG0106,4056422033634130432,267.69816381448123,-29.945352857407062,8.929057,17.650366,50
OGLE2011BLG0107,4062584379710051840,269.59711236513925,-28.598088985149,,19.003893,61
OGLE2011BLG0110,4062704024511270272,269.98301576780136,-27.999857836156753,,19.956806,66
OGLE2011BLG0111,4056321046020436736,269.25847385382764,-29.685456292685878,,18.94819,84
OGLE2011BLG0112,4056325615874315904,269.19842510265937,-29.576796325333802,,19.71532,52
OGLE2011BLG0114,4056536554668289664,268.81463913107734,-29.265985027816647,,20.260696,62
OGLE2011BLG0116,4062573285780862336,269.8726861073196,-28.70513546642453,7.6272397,18.306849,55
OGLE2011BLG0118,4044071077889149696,269.36334920710357,-31.03350834264475,3.33299,17.505953,56
OGLE2011BLG0119,4063101253266185728,270.8300049635211,-27.72326939695969,7.148398,19.38398,58
OGLE2011BLG0120,4063237700020394496,271.3088598089912,-27.11319398489817,3.185912,18.096712,62
OGLE2011BLG0121,4062401963927784576,270.739405318451,-28.99570364025569,,18.858257,53
OGLE2011BLG0122,4050167045209912960,270.39761401147797,-30.304442793271924,1.9603049,18.503313,58
OGLE2011BLG0123,4050198106366915456,270.8974143962257,-30.028452441429263,7.9329314,17.939133,82
OGLE2011BLG0124,4050254013915445888,270.6485418100018,-29.85231514824267,7.736125,18.911842,59
OGLE2011BLG0125,4050210853707428608,270.88726773722874,-29.82863696324912,6.8397536,16.611425,52
OGLE2011BLG0127,4055745108114464000,267.9472637666888,-31.12885530251686,8.283351,19.301725,59
OGLE2011BLG0132,4062661143664896000,269.3300324511545,-28.196786163221383,9.08549,18.422956,49
OGLE2011BLG0134,4062362626239260416,270.1142313772255,-29.059844832198333,2.6741166,17.808935,60
OGLE2011BLG0135,4056543220466854656,268.8956294633272,-29.168607646097172,9.527179,17.794859,66
OGLE2011BLG0136,4062568372333476992,269.5764161481265,-28.818640969937405,,17.64206,70
OGLE2011BLG0137,4062582043260118656,269.5003258779614,-28.707724741904503,,19.436167,71
OGLE2011BLG0139,4044150311346112384,270.0374362458907,-30.696327912675606,3.899893,19.242046,59
OGLE2011BLG0141,4062721067002622976,270.47441880840177,-27.86477081524116,,19.231833,46
OGLE2011BLG0142,4062732096427757952,270.2671328588098,-27.868111535901345,,19.866772,53
OGLE2011BLG0146,4062422682812479232,270.7145088067391,-28.64572964250457,10.012867,19.010023,56
OGLE2011BLG0147,4055668588923968128,268.200552801408,-31.655437326366787,3.293929,18.096737,67
OGLE2011BLG0151,4062635438406856064,269.26879030183903,-28.523758513442015,8.237252,20.046274,52
OGLE2011BLG0152,4063411354105946624,268.99400976103703,-28.136021930080734,11.107834,19.47997,71
OGLE2011BLG0153,4062325101015756544,269.6420226861853,-29.4051157460109,4.636038,15.022792,60
OGLE2011BLG0154,4056524459931306752,269.2146382357786,-29.300014216043063,,19.708626,79
OGLE2011BLG0155,4056515148505655552,268.99892907359083,-29.513306544957267,5.8482895,15.127973,60
OGLE2011BLG0156,4062360736387076096,269.99236448508293,-29.03043316054593,,19.258106,54
OGLE2011BLG0157,4056101113721781120,269.20574673033843,-30.698772306617904,,20.199457,60
OGLE2011BLG0158,4044222020084615552,269.86300422565137,-30.2891675416421,8.305953,19.172176,57
OGLE2011BLG0159,4062911179508715264,270.97980192208354,-27.82843534225253,4.634429,17.375746,43
OGLE2011BLG0161,4063182037271132160,270.32282668658337,-27.30535107512597,7.653883,18.086508,53
OGLE2011BLG0162,4062503020135031168,270.91816930276565,-28.34270548208813,6.8705926,17.04863,53
OGLE2011BLG0163,4044156466002167936,270.47447262540294,-30.505951072187546,,19.73325,63
OGLE2011BLG0166,4060933261088670592,264.40660207335463,-27.278837110000786,9.786166,20.137903,44
OGLE2011BLG0167,4061323106705871488,263.8233365037886,-27.142467441561653,,20.568552,49
