name,SOURCE_ID,ra,dec,pm,phot_g_mean_mag,match
OGLE2014BLG0001,4056185771697418880,268.37217371694356,-30.22074159964941,10.353769,17.00494,53
OGLE2014BLG0002,4056481024957428608,268.50700508437905,-29.911556228028875,6.0183783,17.704136,62
OGLE2014BLG0003,4056397049768365440,268.0815717954869,-29.881420605585834,8.846505,19.464838,71
OGLE2014BLG0004,4056368531145760512,267.82044721060345,-30.126951974907275,,18.263824,67
OGLE2014BLG0005,4056419868912804224,267.6206126056681,-30.03651156809394,3.768076,17.764923,63
OGLE2014BLG0006,4056484911859324416,268.5990123989953,-29.725449817875464,,19.013689,56
OGLE2014BLG0009,4056216729891894528,269.22429087083594,-30.31674831548111,,20.559149,67
OGLE2014BLG0010,4056269128559605760,268.9787021269419,-30.16962087265663,9.384747,17.389708,73
OGLE2014BLG0011,4056072797051403520,268.48459955407645,-31.124808437960752,9.752902,17.365923,66
OGLE2014BLG0015,4060931366947551872,264.6274043715238,-27.265298344822757,6.1851583,18.279118,43
OGLE2014BLG0017,4061329321482227840,263.9388432364049,-27.104139846515427,4.2536707,18.171455,46
OGLE2014BLG0018,4056609740900831232,268.5423045292712,-28.90167213674332,7.57248,18.627558,73
OGLE2014BLG0019,4057354660007158272,267.9329923968166,-28.73659298876786,,20.964666,35
OGLE2014BLG0021,4062631594218038272,268.8738735478085,-28.39592412715014,7.5544267,16.808762,86
OGLE2014BLG0022,4062651243850221312,269.4536810016764,-28.16601382514958,5.151824,18.945642,70
OGLE2014BLG0024,4056535794521865728,268.64220346176967,-29.26900782863135,2.839688,18.571161,70
OGLE2014BLG0025,4062543010548648832,269.3126437141041,-28.9587036614957,1.9608859,17.08217,73
OGLE2014BLG0026,4062568303612341760,269.5384612196231,-28.832120257822258,0.66131544,17.548838,57
OGLE2014BLG0027,4063395101938693888,268.3013611206252,-28.329414666911774,9.943265,19.125181,66
OGLE2014BLG0029,Not Detected,267.41286512141534,-28.44864684623516,2.511753,19.845465,Insufficient matches
OGLE2014BLG0030,4056408805072059520,267.58674194729895,-30.212106827876106,,20.323452,50
OGLE2014BLG0031,4062636026628691712,269.2873538761523,-28.49006006050056,,19.817064,63
OGLE2014BLG0032,4063442209171656192,268.9367943252943,-27.69871085905496,6.6776795,19.772694,51
OGLE2014BLG0033,4063431282769048832,268.6586511734224,-27.94002021844676,8.965604,19.865398,67
OGLE2014BLG0035,4062923995645833728,271.38754540249977,-27.645856787230286,8.625463,15.23242,67
OGLE2014BLG0036,4063200247877595648,270.7463401947038,-27.12102013148511,,20.445166,60
OGLE2014BLG0037,4063182754447717888,270.2326645858711,-27.282263771881816,9.907526,15.880695,49
OGLE2014BLG0038,4063215705470736512,270.5203552823669,-27.0320437625811,6.6431484,18.450054,44
OGLE2014BLG0039,4056613451696722176,268.4978614867576,-28.828246630555466,8.652313,17.830437,65
OGLE2014BLG0040,4062755461055516288,269.8582557401779,-27.892030946197544,5.3679385,16.419863,60
OGLE2014BLG0041,4063550098771060864,269.5938918077501,-27.533607929026186,4.735635,17.504496,54
OGLE2014BLG0043,4063130012352461568,271.1203141317292,-27.428760200317832,,19.28305,55
OGLE2014BLG0045,4062438385122549120,271.2474953528072,-28.58845734822983,,19.144238,53
OGLE2014BLG0046,4062880530556482688,271.01564633616846,-28.250952076320736,47.018044,18.364594,62
OGLE2014BLG0048,4055672819454650112,268.1885639084632,-31.544084070114987,7.334866,18.943213,43
OGLE2014BLG0049,4056357677759855360,267.7646515412271,-30.302422255614196,9.343998,18.991219,50
OGLE2014BLG0053,4061291766254494592,263.6935745637734,-27.4383514913782,6.7155523,19.227457,26
OGLE2014BLG0054,4055983805169446912,267.5217729281762,-30.385761598774298,4.70954,20.472824,46
OGLE2014BLG0055,4056334618138079360,269.3214706429937,-29.38655952662385,8.661581,18.65844,71
OGLE2014BLG0056,4050421169741038848,271.3706211693429,-28.809766897830723,3.3177464,18.312635,55
OGLE2014BLG0058,4050208555961132544,271.11832440983585,-29.82295551964799,13.017431,17.150736,46
OGLE2014BLG0059,4056399111335936768,268.2447945233944,-29.910609551103246,6.0165763,17.160866,63
OGLE2014BLG0060,4056299399413825280,268.96243292897117,-29.74284039855447,,19.567385,63
OGLE2014BLG0061,4056529545242748288,268.78961819664966,-29.446650558396833,6.6763268,17.815847,69
OGLE2014BLG0062,4056534317058113280,268.6808643845292,-29.331572854239962,,19.274359,65
OGLE2014BLG0063,4062428871778448896,270.979626051129,-28.788441009148553,,19.051367,65
