name,SOURCE_ID,ra,dec,pm,phot_g_mean_mag,match
OGLE2012BLG0001,4056590533837341056,268.59118427763553,-29.024161396173337,,19.688297,63
OGLE2012BLG0002,4056587716236733952,268.4761968822403,-29.157632280538028,,18.633745,78
OGLE2012BLG0003,4057360398085343232,268.318684296157,-28.751557735261766,,20.06471,63
OGLE2012BLG0004,4063377647179751552,268.5034670925454,-28.482714437986765,,19.960884,72
OGLE2012BLG0005,4056188524803740672,268.5931636863803,-30.18295287970058,,18.875454,55
OGLE2012BLG0006,4056408491572371328,267.64202459355704,-30.231902057413865,5.912562,18.588467,55
OGLE2012BLG0007,4056392346812487936,268.0929889697341,-29.98749683622308,9.519246,18.493893,69
OGLE2012BLG0008,4056493463214001536,268.7011461280078,-29.571102511552933,6.0225153,16.651726,61
OGLE2012BLG0009,4056495357289275392,268.38284046919233,-29.763001062044893,9.844804,18.822746,74
OGLE2012BLG0011,4063551507469548672,269.7661389930508,-27.467590221216046,,19.995308,52
OGLE2012BLG0012,4062253809008355072,269.9739162554394,-29.78547205278443,4.951251,16.199566,57
OGLE2012BLG0013,4062265319410104576,269.8542280635861,-29.749545756985526,7.172887,17.059576,75
OGLE2012BLG0014,4056260783353835904,269.74991929383896,-29.777847501863096,9.781993,17.690813,66
OGLE2012BLG0015,4062348775199588352,269.61437136432244,-29.133181228665595,6.010756,18.291471,70
OGLE2012BLG0016,4062537173782105344,269.4893439630909,-29.116537535775397,,19.9625,58
OGLE2012BLG0017,4062549160938419328,269.2427192176341,-28.941373807878257,5.0209737,19.187231,64
OGLE2012BLG0018,4062581738278918528,269.5125979906655,-28.738469109256528,4.3426175,19.067337,69
OGLE2012BLG0019,4062587746965569792,269.48677503827156,-28.610442875233417,16.386045,18.208242,82
OGLE2012BLG0020,4062545454376184448,269.4556763249063,-28.866004134179093,,19.62687,71
OGLE2012BLG0021,4062556621233689344,269.32622935536176,-28.835822187957348,5.960077,18.179628,21
OGLE2012BLG0022,4062312392272901376,270.4429473538981,-29.108782841006175,5.8616023,17.395357,58
OGLE2012BLG0023,4062453164125279616,271.1623968495424,-28.430757651549857,5.655293,16.121725,58
OGLE2012BLG0024,4062503157570723328,270.8437220663223,-28.386644646859832,2.0730538,18.435247,61
OGLE2012BLG0026,4061372065008826496,263.577904362218,-27.14276403318168,5.9402804,19.788986,49
OGLE2012BLG0029,4059509840190542208,261.26927907224297,-29.40062344771644,11.188631,19.259323,48
OGLE2012BLG0030,4059221149687108224,259.1309964263121,-30.312199971139023,,20.932152,71
OGLE2012BLG0032,4056350835879298048,267.97901150718496,-30.30445200059231,8.214299,17.787455,58
OGLE2012BLG0033,4056477936831348992,268.56268830314957,-29.918171765113442,8.30041,18.889992,54
OGLE2012BLG0034,4062587746965569792,269.48677503827156,-28.610442875233417,16.386045,18.208242,79
OGLE2012BLG0037,4056521608139826944,269.17877098859395,-29.382892555816287,2.9564242,19.128988,73
OGLE2012BLG0039,4062534527974615680,269.2333917074625,-29.114946115583937,8.595472,16.805588,63
OGLE2012BLG0040,4044180135697666304,269.4837466141088,-30.80114413424095,10.681887,18.914822,75
OGLE2012BLG0041,4044085616257196288,269.3695438415104,-30.88219199154606,,20.039421,60
OGLE2012BLG0042,4044079736368247552,268.98637258373714,-31.04821502752299,9.614628,17.813408,69
OGLE2012BLG0043,4044201305425942272,270.1292605491266,-30.473590655483292,9.709767,15.550539,63
OGLE2012BLG0044,4056160001951260288,268.6092049721425,-30.674846947905916,,20.156004,75
OGLE2012BLG0045,4056220475178863872,269.087226267706,-30.27409017836836,,20.314346,60
OGLE2012BLG0046,4056188524803740672,268.5931636863803,-30.18295287970058,,18.875454,50
OGLE2012BLG0047,4062248307343926400,269.9243325524093,-29.919541450519006,,19.540869,58
OGLE2012BLG0048,4056229172381360640,269.3337513550742,-30.058638282059686,,20.076963,61
OGLE2012BLG0050,4062734394461373696,270.4059138263549,-27.753398353590136,4.772022,18.304161,73
OGLE2012BLG0053,4062809298453448320,270.00498067840294,-27.345576422620002,7.931859,17.342764,49
OGLE2012BLG0054,4063305178372953088,271.1995578904312,-26.796065047960468,18.380232,18.771345,50
OGLE2012BLG0056,4063196051802624640,270.295808427167,-27.03668258315202,10.792118,20.133875,52
OGLE2012BLG0057,4062481236045668096,270.0839419186361,-28.62739508556578,8.611654,18.00868,58
OGLE2012BLG0059,4062473814337432576,270.5384412315148,-28.575635610587895,,19.479534,53
OGLE2012BLG0060,4062682751595818752,270.07975881379156,-28.310058032211643,6.2414303,18.220577,51
OGLE2012BLG0061,4062527548902383616,270.64973943341533,-28.031682263015252,2.9897094,18.489634,62
OGLE2012BLG0063,4050794904853388032,271.62557920029184,-28.74423074040522,8.003209,16.272556,55
OGLE2012BLG0064,4055683986415532928,268.37081744083065,-31.319448827079807,,20.09885,60
OGLE2012BLG0065,4055699066063123840,268.16377358861814,-31.21972219088555,,20.100334,61
OGLE2012BLG0066,4056082898692467968,268.60071975166244,-30.888134785578412,7.100988,19.537203,65
OGLE2012BLG0067,4055954672391065216,267.3934633665545,-30.85811384566728,9.433504,19.332632,45
OGLE2012BLG0068,4056145536599186560,268.2052825853329,-30.67881408057179,12.929051,18.312263,67
OGLE2012BLG0069,4056148560231521280,268.0076507835419,-30.661287947810614,,19.620092,67
OGLE2012BLG0070,4043530255534619392,268.52738824384977,-32.70115480217791,,19.842134,60
OGLE2012BLG0071,4043493662341363456,267.87900331041726,-32.766931846590154,4.8252573,17.70622,59
OGLE2012BLG0073,4060929069200441216,264.50821476114584,-27.325277734559396,10.880138,,34
OGLE2012BLG0074,4061688419429283968,264.28068882282645,-27.167635875223297,,18.204994,46
OGLE2012BLG0075,4061383781679224576,263.81308647736716,-26.873016604839535,8.931315,19.862064,50
OGLE2012BLG0076,4056435193366658048,267.5903541993524,-29.867118078124502,4.535551,17.640455,61
OGLE2012BLG0077,4043998376793240064,269.86994757733004,-31.39714067184256,,20.240738,62
OGLE2012BLG0078,4050258235860141824,270.89206745984495,-29.76670559190896,5.7562914,16.62038,59
OGLE2012BLG0079,4049112476169019648,271.55881375065366,-31.33606122655299,,19.778387,39
OGLE2012BLG0080,4043733974465338240,270.5079534063864,-31.920510730950532,7.2310596,18.943148,68
OGLE2012BLG0081,4063268898678429952,271.7636666046672,-26.836386097610912,6.6618185,17.344017,52
OGLE2012BLG0082,4064785331344430080,272.0940601419694,-26.435227247078128,5.1169534,18.780836,47
OGLE2012BLG0083,4050936153470134272,272.31891752470983,-28.006084858649015,,19.978235,64
OGLE2012BLG0084,4050948218005832448,272.5450907827577,-27.722163930634952,,19.375238,64
OGLE2012BLG0085,4062917913905527424,271.4550658832414,-27.824209794478186,,19.640072,48
OGLE2012BLG0086,4062920555501796992,271.3827053636354,-27.782639091556028,,18.782366,50
OGLE2012BLG0087,4050320324040245888,271.7955509619466,-29.557755068378455,4.9504623,16.937956,60
OGLE2012BLG0088,4065667689399443328,271.73184734328487,-25.351556415625982,9.405575,19.536724,41
OGLE2012BLG0090,4063403691947448448,268.52577738442534,-28.171662012909028,6.227322,19.390934,47
OGLE2012BLG0092,4056399218702489984,268.23858810268064,-29.874595005182762,,18.719913,60
OGLE2012BLG0093,4062698522735626752,270.11894946631185,-28.120967747952875,2.26995,18.882694,51
OGLE2012BLG0095,4062309746575479936,270.32019542352435,-29.233224663373413,5.724818,15.435755,56
OGLE2012BLG0096,4043716760109373824,270.6541384341272,-32.059651884480274,8.890935,19.073675,62
OGLE2012BLG0097,4041548355730331776,267.0231196401716,-34.49949145678575,1.121628,17.684174,62
OGLE2012BLG0098,4061702506852944640,264.25483875179816,-26.997735593963444,2.0286212,18.204105,37
OGLE2012BLG0100,4061329875576161920,264.0139638656751,-27.102070690792974,,20.230034,49
