name,SOURCE_ID,ra,dec,pm,phot_g_mean_mag,match
OGLE2007BLG001,4056495078059106048,268.44681765375975,-29.740000941402325,6.5865545,16.861818,63
OGLE2007BLG003,4062267106074241920,269.9313765913839,-29.674861704721064,7.523937,19.020414,55
OGLE2007BLG004,4062343827210313216,269.6655781837891,-29.27358580756737,,18.372643,54
OGLE2007BLG006,4062388048255311360,270.7187756362221,-29.25369490263904,9.903091,19.114628,53
OGLE2007BLG007,4041413699936636544,265.6784887001447,-34.44094415251131,7.319135,18.071468,74
OGLE2007BLG008,4041810554834596608,266.3451194075506,-34.04459788946077,4.149317,18.712011,58
OGLE2007BLG009,4041893086987867008,267.3391752467575,-33.640170563386405,7.5289574,18.1792,63
OGLE2007BLG011,4055684123854544384,268.4007919200193,-31.284718675969035,6.636792,19.702166,50
OGLE2007BLG013,4044050977380389760,269.0629731853588,-31.187639749285957,2.0989857,18.109173,53
OGLE2007BLG014,4056337027616528000,267.8507968085929,-30.625806643181193,5.8016133,18.716516,60
OGLE2007BLG015,4056097849475375744,268.9511308844664,-30.763611610640577,,19.336712,54
OGLE2007BLG016,4043948482174164736,270.63605961187125,-30.820648980509638,7.2823944,17.309668,51
OGLE2007BLG017,4056463918121878784,267.6161734157932,-29.677999870763205,7.0798283,17.950308,49
OGLE2007BLG018,4056580294592378496,268.23296007357857,-29.09541334473172,10.42669,18.792503,55
OGLE2007BLG019,4056562079545425536,268.35849977434395,-29.263082562154533,4.6431403,15.834858,69
OGLE2007BLG020,4056550985726282368,268.35181284580716,-29.44189491364885,5.5401354,16.536856,50
OGLE2007BLG022,4062434399414202752,271.3450894353544,-28.64944494198025,8.458102,18.222208,43
OGLE2007BLG023,4062592183642749312,269.72764227689066,-28.520169796547712,4.9040303,18.094694,40
OGLE2007BLG024,4062704230723313792,269.9967740429917,-27.966859124878628,4.566765,19.553585,48
OGLE2007BLG026,4062724773523597312,270.34682051597235,-27.95627175516993,,19.407679,44
OGLE2007BLG027,4056521745580892928,269.0911719494628,-29.419891256972434,,19.700405,60
OGLE2007BLG028,4041893086987867008,267.3391752467575,-33.640170563386405,7.5289574,18.1792,61
OGLE2007BLG029,4043226313546276864,268.73427359289417,-33.12901660742084,,20.189451,66
OGLE2007BLG030,4043610210621200768,268.49605814593707,-32.163630414260666,13.056671,19.641546,79
OGLE2007BLG032,4043590045664060288,268.7974254062939,-31.95194664941229,,19.554586,61
OGLE2007BLG033,4044069020492921088,269.5019787900982,-31.028072869640436,1.4673976,17.526917,46
OGLE2007BLG034,4056145227203251840,268.2016429131687,-30.706814068259686,4.9805903,17.788382,57
OGLE2007BLG035,4049896913118315776,271.3948121867751,-30.738670645831206,,19.586834,54
OGLE2007BLG036,4050447596717314304,272.6077434923493,-29.665116353295495,8.407719,19.242992,55
OGLE2007BLG038,4050386470701461376,270.9303786611831,-29.161909756872593,6.4177012,17.761812,58
OGLE2007BLG039,4063550300595399168,269.6040951396395,-27.4944363172092,16.435713,19.849194,51
OGLE2007BLG040,4063130360202276480,271.15035450205016,-27.428308221094607,4.6773443,15.702238,49
OGLE2007BLG041,4062948700308785024,271.37759472873205,-27.41201842347809,11.473396,17.130304,54
OGLE2007BLG042,4062924197752214400,271.58950144775173,-27.764295018130987,,18.960157,60
OGLE2007BLG043,4050944262506358016,272.4362496246712,-27.90317767697434,,19.592098,44
OGLE2007BLG044,4050948213896613632,272.53695642011894,-27.712025901386617,6.1134596,17.043013,45
OGLE2007BLG045,4062965399080282880,272.1988806266098,-27.61045959137643,5.7035375,17.757042,68
OGLE2007BLG047,4064593771579669760,272.33473232799355,-26.562740151343743,6.4884253,17.195267,51
OGLE2007BLG048,4064811650913667328,272.09911865216947,-26.111546216382738,9.641789,17.020788,43
OGLE2007BLG050,4062584139195379712,269.58057492752425,-28.649630292342884,7.0990133,19.392021,67
OGLE2007BLG051,4062691169796703360,269.7352474227843,-28.3474358134114,3.282058,17.906183,57
OGLE2007BLG054,4043507062769936384,267.94885238509784,-32.4980324996687,6.2766466,18.350084,54
OGLE2007BLG055,4049947421952244736,271.1706946760478,-30.638757747187306,7.515987,18.177868,60
OGLE2007BLG056,4044231301608335744,270.036436254146,-30.07146621331402,,19.694643,58
OGLE2007BLG059,4044078847327286272,269.0180147843759,-31.089322743259743,,19.497408,55
OGLE2007BLG060,4043660650647976704,268.4063213250474,-31.584630537251005,3.499401,18.995115,57
OGLE2007BLG061,4043240603057796864,268.6013762581775,-32.99988452285348,,20.107208,59
OGLE2007BLG062,4056065856391919744,268.87359433092536,-31.066425649755292,,19.610367,59
OGLE2007BLG063,4063943135485528192,270.018623353081,-27.0345095792738,12.091525,20.10339,50
OGLE2007BLG064,4056289778646094208,268.75448180609095,-29.97297511193017,3.582329,16.786043,65
OGLE2007BLG065,4062293150763960192,270.6223817611896,-29.36761935792605,10.952596,16.787592,60
OGLE2007BLG066,4041541930458432256,267.0500084329639,-34.6487917539044,,20.62102,40
OGLE2007BLG067,4062592591755164800,269.7207329810809,-28.487226534038236,,19.584145,53
OGLE2007BLG068,4041479258266526464,267.36744842359315,-34.78441992733742,12.634276,19.485794,64
OGLE2007BLG069,4056542292709365888,269.0513249648315,-29.094961573193572,12.887821,18.88605,58
OGLE2007BLG070,4056347713499232896,268.1751960335848,-30.356957075241283,,20.710335,53
OGLE2007BLG071,4044082382153832832,269.1256987087731,-30.937645597436877,,19.257788,80
OGLE2007BLG072,4050855068769527680,272.7885551608851,-28.366518270652485,6.9643283,15.386935,56
OGLE2007BLG073,4063047136714729216,271.55644716420255,-27.136309023749046,,19.322401,51
OGLE2007BLG074,4056400112118052480,268.35121710231397,-29.84861125232646,,19.645187,57
OGLE2007BLG075,4056441343761591936,267.55298242315246,-29.672670592533482,,20.284107,67
OGLE2007BLG079,4056532976875328000,268.79895795985556,-29.323978375143025,,20.216637,69
OGLE2007BLG080,4043551356586921728,268.3854032930228,-32.47244392131679,6.7095637,19.567448,60
OGLE2007BLG081,4044004424208201344,269.5094839502645,-31.48555166734157,,20.30598,64
OGLE2007BLG082,4050771299757631232,272.5256445074997,-28.483243687437042,6.2505317,18.667484,51
OGLE2007BLG083,4063186327992300544,270.16979929226005,-27.212834013844844,,19.669386,54
