name,SOURCE_ID,ra,dec,pm,phot_g_mean_mag,match
OGLE2005BLG001,4056288095015767424,268.7293797949361,-30.02462627318721,,16.654436,66
OGLE2005BLG003,4062537513081482752,269.4438514278925,-29.091918060698568,10.617704,18.309557,53
OGLE2005BLG005,4062582562912245120,269.38777521674206,-28.718508263257807,9.004686,19.176886,69
OGLE2005BLG006,4043503077018476544,268.1348265137968,-32.5485189306775,7.1875,18.080433,73
OGLE2005BLG007,4044021496646632320,268.9717523502937,-31.703161310203157,10.14155,19.528103,44
OGLE2005BLG008,4043635606692671488,268.5850265450714,-32.00409611587405,6.8206434,17.338758,57
OGLE2005BLG009,4044048709628306048,268.98182836468584,-31.2928055917999,7.742543,18.857178,64
OGLE2005BLG010,4056066582102101632,268.8067388066037,-31.06233129360239,6.240778,19.449747,62
OGLE2005BLG011,4056058984433305216,268.5393007974387,-31.260669530315162,4.5833316,19.228247,50
OGLE2005BLG012,4055953362430679680,267.44548755130484,-30.919537448040426,6.1308675,19.5454,52
OGLE2005BLG013,4056204330237210624,269.4526587530399,-30.45609741407918,8.576561,19.751368,47
OGLE2005BLG014,4044135162954889728,270.35119164069664,-30.76190616411264,9.0360985,16.190968,75
OGLE2005BLG015,4056365473160112768,268.0354856062598,-30.155228166470835,9.425349,17.593718,58
OGLE2005BLG016,4050182094768794880,271.12480460719985,-30.175900080838634,7.6795955,19.379753,59
OGLE2005BLG018,4056461886541789568,267.8480135615028,-29.65781749475039,7.329257,17.181974,67
OGLE2005BLG019,4050258824283485440,270.92054518326677,-29.71949087258469,7.0889297,18.09361,66
OGLE2005BLG020,4050127570081324672,271.92269895779,-29.7108991146541,6.641494,16.079609,69
OGLE2005BLG021,4050120350186803968,272.3317254666286,-29.69448818114951,13.532815,19.069014,51
OGLE2005BLG022,4062559297082811520,269.24155694091877,-28.84444836998134,5.181367,18.738333,62
OGLE2005BLG023,4062359564146670848,270.0425480039804,-29.080290252756203,6.911896,,60
OGLE2005BLG024,4062563969948807296,269.660683221889,-28.90188072354112,9.748661,17.813202,58
OGLE2005BLG027,4062429039261150848,270.97727209480917,-28.754400624391216,5.0518894,16.767994,56
OGLE2005BLG028,4062672035632674432,270.1524516636037,-28.461793658859538,1.148412,19.013546,55
OGLE2005BLG029,4062776965962457216,270.1019935534679,-27.838714949696442,10.856963,18.805275,63
OGLE2005BLG030,4063962686147830784,270.0489275843456,-26.880963073776694,6.7916093,17.807215,47
OGLE2005BLG031,4063558615666967680,269.79232876853985,-27.387575793868585,2.4195294,19.569803,58
OGLE2005BLG033,4063039440120933120,271.604860553588,-27.362130996708316,4.2727857,18.120094,46
OGLE2005BLG036,4064934448322135808,272.87267862199934,-25.639959711745806,,19.904575,70
OGLE2005BLG037,4043545476810114816,268.7415337872625,-32.356166638827744,5.084106,19.759409,48
OGLE2005BLG038,4043594478122980352,269.0212055194277,-31.881021751263674,8.073116,16.558905,50
OGLE2005BLG039,4056222300540616960,269.3506294031269,-30.261572617810103,,20.53199,50
OGLE2005BLG040,4062295006239797248,270.60849095811596,-29.264247589177227,,19.793037,54
OGLE2005BLG041,4050416359390875136,271.4287309727941,-28.92093520580244,1.1842084,17.31873,43
OGLE2005BLG043,4062526140142638976,270.70239532911523,-28.111934866810905,4.821909,15.265053,59
OGLE2005BLG044,4062504944210640256,271.02648665065607,-28.280556426125226,,18.916267,64
OGLE2005BLG046,4063111183119004800,270.6104606209339,-27.66653596897324,5.8581553,14.911469,51
OGLE2005BLG047,4062582769124919936,269.47083586689234,-28.702048383966908,,19.006191,66
OGLE2005BLG048,4062868844227244672,271.5088090673479,-27.906517481599362,7.6312866,18.546328,49
OGLE2005BLG049,4063955367565655040,269.8246904915802,-26.983579777588,6.278259,18.986061,36
OGLE2005BLG050,4063046694258123008,271.52747688845267,-27.18174876520143,6.7432837,18.880667,52
OGLE2005BLG051,4040236702766330496,266.9279855575391,-36.37175323904944,10.716381,18.354124,67
OGLE2005BLG052,4062389804733614336,270.7888307399641,-29.22442943672647,,19.48325,54
OGLE2005BLG054,4062299606125115648,270.52142596619683,-29.149373301644708,7.769864,15.919752,52
OGLE2005BLG057,4062753842044982272,269.6913199807652,-27.95572043168879,11.457218,19.088844,41
OGLE2005BLG058,4064789725093774336,272.35779199202744,-26.352518074528806,4.3821154,18.722073,59
OGLE2005BLG059,4053802962552499840,265.7449321022253,-34.18702030616477,3.9765084,18.601887,49
OGLE2005BLG060,4041663868913185152,267.53941477331074,-33.90995732977435,6.0850363,18.967127,47
OGLE2005BLG061,4042375905646767488,269.2490972072466,-33.92101907385682,5.5002627,17.335537,68
OGLE2005BLG062,4043249334524731008,269.2685949953426,-33.36417700685822,5.7034106,17.159092,59
OGLE2005BLG063,4043412504655930880,267.6937382714269,-33.12243370087254,7.383364,19.472408,64
OGLE2005BLG064,4041975172400094336,267.2278193123721,-33.00811371599454,,20.666725,44
OGLE2005BLG065,4043405495322768384,268.06934272247804,-33.00893961328756,8.370007,17.815104,59
OGLE2005BLG067,4068940828171863424,267.03390369080887,-22.796021021786952,9.646516,19.898804,66
OGLE2005BLG068,4068323009963499904,265.63142786502084,-24.25059423055562,3.5392346,19.128077,52
OGLE2005BLG069,4062288821435899008,270.39030442788237,-29.442574176108597,,19.984718,50
OGLE2005BLG070,4041454240075509248,267.5116062622591,-35.21515232119765,8.343212,19.146034,62
OGLE2005BLG072,4041663868913185152,267.53941477331074,-33.90995732977435,6.0850363,18.967127,38
