name,SOURCE_ID,ra,dec,pm,phot_g_mean_mag,match
OGLE2015BLG0001,4056590808677111424,268.5729079252908,-29.007060061503935,3.7936985,18.615644,68
OGLE2015BLG0002,4056579740590638592,268.1439499930091,-29.101026284334456,8.193339,19.127916,53
OGLE2015BLG0003,4056615066704276352,268.5094707121989,-28.737328111869168,4.8031626,18.016273,67
OGLE2015BLG0004,4063393620163433344,268.5461881872228,-28.263142513375815,4.3965406,18.086914,57
OGLE2015BLG0006,4056461543001898240,267.7998004447651,-29.696341763322284,8.502523,19.100075,58
OGLE2015BLG0007,4056559884838873344,268.5268322714177,-29.263487034430167,,18.927063,76
OGLE2015BLG0008,4062277650284535552,269.9133453541863,-29.567250069022187,5.050602,16.865028,59
OGLE2015BLG0009,4056327853534952576,269.3523118518972,-29.57875337884313,7.051412,16.581585,75
OGLE2015BLG0011,4056524494358254720,269.2178249334412,-29.28326022664375,6.641811,17.19507,71
OGLE2015BLG0012,4044186496372444288,269.4870735454668,-30.654252389691656,3.1273828,19.296173,75
OGLE2015BLG0013,4044184293225562624,269.39909405043034,-30.73831500332666,3.655492,16.721664,59
OGLE2015BLG0014,4056271194360302080,268.84763261313736,-30.181324039518735,7.7360754,18.226822,69
OGLE2015BLG0015,4056069017322340224,268.6298050485283,-31.032443901816116,1.070562,16.252579,22
OGLE2015BLG0016,4061271085985529984,263.90762780190926,-27.716344101664674,,20.328014,41
OGLE2015BLG0018,4056180209743374464,268.51880453946364,-30.37026203118437,,19.334547,62
OGLE2015BLG0019,4056190517668463360,268.6708771964663,-30.123045575011425,6.283759,19.217398,61
OGLE2015BLG0020,4056494871946922240,268.4572525875478,-29.750666217587803,7.8584824,18.702522,62
OGLE2015BLG0022,4056450410445268224,268.09080033829974,-29.785052272131427,2.7713475,18.574936,57
OGLE2015BLG0023,4062643895069460864,269.4303079938141,-28.38660613770699,3.8146276,17.173182,60
OGLE2015BLG0024,4062779543084687360,269.9061645361144,-27.794834811436036,1.9287063,17.483664,48
OGLE2015BLG0025,4063420253284625664,269.18079889830204,-27.951943334901756,8.0136795,18.379389,54
OGLE2015BLG0026,4063438876279644160,268.87546100943615,-27.838583223634103,13.150196,19.204506,43
OGLE2015BLG0027,4062798548242541184,269.720304719395,-27.585279889892156,4.909046,17.417059,51
OGLE2015BLG0028,4056540776633265280,269.01165125417106,-29.175644499046136,7.412778,18.48556,80
OGLE2015BLG0029,4062575141137611008,269.94383585093925,-28.644874251819925,,18.403208,65
OGLE2015BLG0030,4062608843841856128,269.1063568360363,-28.708753528827142,,19.608095,71
OGLE2015BLG0031,4044180548035729920,269.50652812013067,-30.78707312417732,4.8349648,19.544575,58
OGLE2015BLG0032,4044212541118935296,270.0913596032441,-30.284052514539752,12.218049,14.140387,61
OGLE2015BLG0034,4063116474576255104,270.58032623796544,-27.51611401594612,5.968116,17.959738,63
OGLE2015BLG0035,4062803594923308928,270.0676061364008,-27.485342259838596,1.59495,17.178528,65
OGLE2015BLG0036,4063044559726199424,271.49255459219154,-27.261907364000365,3.9817743,17.24987,61
OGLE2015BLG0037,4063213059904769280,270.8968103442192,-26.876287647510672,,19.650799,59
OGLE2015BLG0039,4063947125479566976,270.26639907523094,-26.978273176145827,,20.572525,55
OGLE2015BLG0040,4050419486112637056,271.44379081080325,-28.821860584885897,6.678857,17.133343,52
OGLE2015BLG0041,4062430830282092288,270.976506511617,-28.71905023937507,,18.561108,50
OGLE2015BLG0043,4062459379096677376,270.29490217819904,-28.88758044825254,5.02761,18.159262,63
OGLE2015BLG0045,4062685156787649920,270.23702196320073,-28.213286904927568,5.6391683,17.881453,57
OGLE2015BLG0046,4050105060275937024,271.6274408627081,-29.83100017788693,,18.275959,68
OGLE2015BLG0047,4055682676452573312,268.33849768841185,-31.32837183784627,8.184855,19.561728,71
OGLE2015BLG0048,4061320078732694016,263.7229509246846,-27.286673192303965,7.7199078,19.082108,49
OGLE2015BLG0050,4056349324047373184,267.998668390186,-30.36968885903463,4.2328043,18.399809,63
OGLE2015BLG0051,4062746935571894272,269.66255496424026,-28.031669866724908,6.3356347,18.060389,62
OGLE2015BLG0052,4062344789282281216,269.5914854110046,-29.245018857673777,8.862027,18.75612,72
OGLE2015BLG0054,4062942343755846784,271.45441286774275,-27.550641950242404,3.6164434,18.79576,68
OGLE2015BLG0055,4065775952620166400,272.29763994109743,-24.99798159818225,9.593903,18.188198,45
OGLE2015BLG0056,4050176120351393792,270.63208314646187,-30.123584391801078,4.761586,15.598975,54
OGLE2015BLG0057,4056615444566032640,268.56859292242797,-28.770280263810914,3.1882107,19.23021,52
OGLE2015BLG0060,4062779753458318592,269.99308410319145,-27.780967302503132,8.627679,18.321697,59
OGLE2015BLG0062,4056520126334105216,268.9365036986332,-29.38325208861509,,19.223925,61
OGLE2015BLG0063,4043967861123659136,269.4020576666963,-31.63349420669828,,20.21788,41
OGLE2015BLG0064,4042926314286962944,270.2539550393926,-32.6895746345089,6.094716,14.772186,60
OGLE2015BLG0065,4063270165823584640,271.9034850683057,-26.776258851058678,,19.687845,54
OGLE2015BLG0066,4050807339022258944,271.8165655495228,-28.416040713549073,3.4668937,19.269861,66
OGLE2015BLG0069,4061333826892979584,263.31408063027914,-27.503044588410898,9.317841,18.426722,39
OGLE2015BLG0070,4061306029910938496,264.1661187338053,-27.40855051014529,5.7476435,16.887287,33
OGLE2015BLG0071,4056483812409967488,268.64554118424195,-29.77036202525091,,19.59732,67
OGLE2015BLG0073,4043178519081993984,268.1830956685651,-33.762924358161804,7.642814,18.98324,69
OGLE2015BLG0075,4043414467449711232,267.89981951601953,-33.13862190220333,10.284739,17.500488,66
OGLE2015BLG0079,4062542121480490240,269.4327130937434,-28.990137087531846,,19.45018,74
OGLE2015BLG0080,4056543495236768896,268.86438090947485,-29.14681083435047,,19.76163,65
OGLE2015BLG0081,4056596508156708992,268.65297273921186,-28.996303377777146,,19.178652,61
OGLE2015BLG0083,4056290504597133056,268.83691864216627,-29.911786157862284,,19.768446,63
OGLE2015BLG0084,4043383882956204544,269.22602726482165,-32.30341077846655,,20.139034,65
OGLE2015BLG0085,4043974462455902720,268.97239075512033,-31.724519592696527,,20.43696,51
OGLE2015BLG0086,4044006206677596672,269.5760272454866,-31.423476769969437,5.6860065,18.852898,54
OGLE2015BLG0087,4043168142490183040,268.946036513346,-33.49605261265053,,19.79393,56
OGLE2015BLG0088,4043228164848941056,268.8046192097923,-33.07349763524059,1.0049478,19.717821,68
OGLE2015BLG0089,4043364302252997632,269.57006349726197,-32.46010119806719,3.5036447,18.84827,52
OGLE2015BLG0090,4043383882956204544,269.22602726482165,-32.30341077846655,,20.139034,67
OGLE2015BLG0092,4050421689473851520,271.2667333630707,-28.824018196197162,5.537165,19.014807,54
OGLE2015BLG0093,4062449350249297664,271.08311449278415,-28.586544975918645,2.9050372,15.731244,49
